Genome Name,Accession,PATRIC ID,Refseq Locus Tag,Alt Locus Tag,Gene,Product,Annotation,Pathway Name,EC Description
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.2,,,,"Xanthine phosphoribosyltransferase (EC 2.4.2.22)",PATRIC,"Purine metabolism","Xanthine phosphoribosyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.14,,,,"Cardiolipin synthase (EC 2.7.8.-) phosphatidylethanolamine-utilizing, bacterial type ClsC",PATRIC,"Glycerophospholipid metabolism","Transferases for other substituted phosphate groups"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.16,,,,"Aldehyde dehydrogenase (EC 1.2.1.3)",PATRIC,"Fatty acid metabolism","Aldehyde dehydrogenase (NAD(+))"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.24,,,,"Phosphoglucomutase (EC 5.4.2.2) @ Phosphomannomutase (EC 5.4.2.8)",PATRIC,"Galactose metabolism","Phosphoglucomutase (alpha-D-glucose-1,6-bisphosphate-dependent)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.25,,,,"N-acetylglutamate kinase (EC 2.7.2.8)",PATRIC,"Arginine and proline metabolism","Acetylglutamate kinase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.33,,,,"Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) / GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II",PATRIC,"Purine metabolism","GTP diphosphokinase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.74,,,,"Rubredoxin-NAD(+) reductase (EC 1.18.1.1)",PATRIC,"Fatty acid metabolism","Rubredoxin--NAD(+) reductase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.101,,,,"Aspartate ammonia-lyase (EC 4.3.1.1)",PATRIC,"Alanine, aspartate and glutamate metabolism","Aspartate ammonia-lyase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.112,,,,"L-asparaginase I, cytoplasmic (EC 3.5.1.1)",PATRIC,"Cyanoamino acid metabolism","Asparaginase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.119,,,,"Transcriptional regulator, GntR family domain / Aspartate aminotransferase (EC 2.6.1.1)",PATRIC,"Tyrosine metabolism","Aspartate transaminase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.125,,,,"Pyruvate carboxylase subunit A (EC 6.4.1.1)",PATRIC,"Citrate cycle (TCA cycle)","Pyruvate carboxylase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.136,,,,"Pyridoxal kinase (EC 2.7.1.35)",PATRIC,"Vitamin B6 metabolism","Pyridoxal kinase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.144,,,,"GTP cyclohydrolase I (EC 3.5.4.16) type 2",PATRIC,"Folate biosynthesis","GTP cyclohydrolase I"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.165,,,,"Acyl-CoA:1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)",PATRIC,"Glycerolipid metabolism","1-acylglycerol-3-phosphate O-acyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.166,,,,"Phosphatidate cytidylyltransferase (EC 2.7.7.41)",PATRIC,"Phosphatidylinositol signaling system","Phosphatidate cytidylyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.172,,,,"Glutathione S-transferase, unnamed subgroup (EC 2.5.1.18)",PATRIC,"Metabolism of xenobiotics by cytochrome P450","Glutathione transferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.179,,,,"ATP synthase epsilon chain (EC 3.6.3.14)",PATRIC,"Methane metabolism","H(+)-transporting two-sector ATPase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.180,,,,"ATP synthase beta chain (EC 3.6.3.14)",PATRIC,"Methane metabolism","H(+)-transporting two-sector ATPase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.182,,,,"ATP synthase alpha chain (EC 3.6.3.14)",PATRIC,"Methane metabolism","H(+)-transporting two-sector ATPase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.184,,,,"ATP synthase F0 sector subunit b (EC 3.6.3.14)",PATRIC,"Oxidative phosphorylation","H(+)-transporting two-sector ATPase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.207,,,,"Acyl-CoA:1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)",PATRIC,"Glycerolipid metabolism","1-acylglycerol-3-phosphate O-acyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.208,,,,"D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase (EC 3.1.3.82); Histidinol-phosphatase (EC 3.1.3.15)",PATRIC,"Lipopolysaccharide biosynthesis","D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.225,,,,"Methionyl-tRNA formyltransferase (EC 2.1.2.9)",PATRIC,"One carbon pool by folate","Methionyl-tRNA formyltransferase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.232,,,,"Shikimate 5-dehydrogenase I alpha (EC 1.1.1.25)",PATRIC,"Phenylalanine, tyrosine and tryptophan biosynthesis","Shikimate dehydrogenase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.251,,,,"Peroxiredoxin OsmC (EC 1.11.1.15)",PATRIC,"Glutathione metabolism","Peroxiredoxin"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.263,,,,"Gluconate 2-dehydrogenase (EC 1.1.99.3), membrane-bound, cytochrome c",PATRIC,"Pentose phosphate pathway","Gluconate 2-dehydrogenase (acceptor)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.267,,,,"Cytochrome c oxidase polypeptide II (EC 1.9.3.1)",PATRIC,"Nitrogen metabolism","Cytochrome-c oxidase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.268,,,,"Cytochrome c oxidase polypeptide I (EC 1.9.3.1)",PATRIC,"Nitrogen metabolism","Cytochrome-c oxidase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.280,,,,"Catalase KatE-intracellular protease (EC 1.11.1.6)",PATRIC,"Methane metabolism","Catalase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.321,,,,"Acetyl-CoA hydrolase (EC 3.1.2.1)",PATRIC,"Pyruvate metabolism","Acetyl-CoA hydrolase"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.323,,,,"NAD(P) transhydrogenase C-domain of subunit alpha (EC 1.6.1.2)",PATRIC,"Nicotinate and nicotinamide metabolism","NAD(P)(+) transhydrogenase (Re/Si-specific)"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.362,,,,"Biofilm PGA synthesis N-glycosyltransferase PgaC (EC 2.4.-.-)",PATRIC,"Lipopolysaccharide biosynthesis","Glycosyltransferases"
Pseudomonas sp. BIOMIG1BAC Whole Genome,1758730.7.con.0001,fig|1758730.7.peg.402,,,,"Succinate-semialdehyde dehydrogenase [NAD(P)+] (EC 1.2.1.16)",PATRIC,"Alanine, aspartate and glutamate metabolism","Succinate-semialdehyde dehydrogenase (NAD(P)(+))"
