PROT.1109.6095431.0001i_00209	PROT.1109.6095431.0001i_00209 153 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_00210	PROT.1109.6095431.0001i_00210 561 NA 	 DNA-3-methyladenine glycosylase I 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_083235629.1 	 NA	
PROT.1109.6095431.0001i_00211	PROT.1109.6095431.0001i_00211 1113 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_00212	PROT.1109.6095431.0001i_00212 1404 NA 	 relaxase/mobilization nuclease domain-containing protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_070412913.1 	 NA	
PROT.1109.6095431.0001i_00213	PROT.1109.6095431.0001i_00213 777 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_00214	PROT.1109.6095431.0001i_00214 1701 NA 	 recombinase family protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_020301430.1 	 NA	
PROT.1109.6095431.0001i_00357	PROT.1109.6095431.0001i_00357 111 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_00358	PROT.1109.6095431.0001i_00358 1038 NA 	 IS630-like element ISPa47 family transposase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_011911785.1 	 NA	
PROT.1109.6095431.0001i_00363	PROT.1109.6095431.0001i_00363 981 NA 	 IS5-like element ISPre2 family transposase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_010466230.1 	 NA	
PROT.1109.6095431.0001i_00364	PROT.1109.6095431.0001i_00364 1029 NA 	 IS30-like element ISPsp8 family transposase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_058182715.1 	 NA	
PROT.1109.6095431.0001i_00370	PROT.1109.6095431.0001i_00370 405 NA 	 sigma-70 family RNA polymerase sigma factor 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_176719758.1 	 NA	
PROT.1109.6095431.0001i_00371	PROT.1109.6095431.0001i_00371 213 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_00376	PROT.1109.6095431.0001i_00376 1212 NA 	 tyrosine-type recombinase/integrase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068576206.1 	 NA	
PROT.1109.6095431.0001i_00377	PROT.1109.6095431.0001i_00377 558 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_00378	PROT.1109.6095431.0001i_00378 201 NA 	 helix-turn-helix domain-containing protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068576204.1 	 NA	
PROT.1109.6095431.0001i_00379	PROT.1109.6095431.0001i_00379 447 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_00380	PROT.1109.6095431.0001i_00380 306 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_00381	PROT.1109.6095431.0001i_00381 402 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_00382	PROT.1109.6095431.0001i_00382 240 NA 	 hypothetical protein 	 NA 	 NA 	 NA	
PROT.1109.6095431.0001i_00383	PROT.1109.6095431.0001i_00383 1203 NA 	 phage major capsid protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_164823616.1 	 NA	
PROT.1109.6095431.0001i_00384	PROT.1109.6095431.0001i_00384 522 NA 	 HK97 family phage prohead protease 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_059400029.1 	 NA	
PROT.1109.6095431.0001i_00385	PROT.1109.6095431.0001i_00385 1233 NA 	 phage portal protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068578938.1 	 NA	
PROT.1109.6095431.0001i_00386	PROT.1109.6095431.0001i_00386 336 NA 	 HNH endonuclease 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_059400028.1 	 NA	
PROT.1109.6095431.0001i_00387	PROT.1109.6095431.0001i_00387 462 NA 	 TerS protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068578924.1 	 NA	
PROT.1109.6095431.0001i_00388	PROT.1109.6095431.0001i_00388 1497 NA 	 terminase 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068578922.1 	 NA	
PROT.1109.6095431.0001i_00389	PROT.1109.6095431.0001i_00389 282 NA 	 phage gp6-like head-tail connector protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068578920.1 	 NA	
PROT.1109.6095431.0001i_00390	PROT.1109.6095431.0001i_00390 318 NA 	 phage head closure protein 	 NA 	 similar to AA sequence:GCF_001705995.2_ASM170599v2_genomic.gbff:WP_068578918.1 	 NA	
