Genome,Genome ID,Accession,PATRIC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.1",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1.2010.fwd","PATRIC","CDS",1,2010,2010,"+",,"PLF_286_00000634","PGF_06915428",,669,,"ATP-dependent DNA helicase Rep",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.912",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1001079.1002266.rev","PATRIC","CDS",1001079,1002266,1188,"-",,"PLF_286_00009277","PGF_00005990",,395,,"Flp pilus assembly protein CpaE",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.913",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1002263.1003516.rev","PATRIC","CDS",1002263,1003516,1254,"-",,"PLF_286_00097795","PGF_00005988",,417,,"Flp pilus assembly protein CpaC",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.914",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1003536.1004474.rev","PATRIC","CDS",1003536,1004474,939,"-",,"PLF_286_00042038","PGF_10550929",,312,,"Flp pilus assembly protein RcpC/CpaB",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.915",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1004803.1005009.fwd","PATRIC","CDS",1004803,1005009,207,"+",,"PLF_286_00438333","PGF_06805372",,68,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.916",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1005065.1005271.fwd","PATRIC","CDS",1005065,1005271,207,"+",,"PLF_286_00209157","PGF_06805372",,68,,"Flp/Fap pilin component",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.917",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1005329.1005742.fwd","PATRIC","CDS",1005329,1005742,414,"+",,"PLF_286_00006968","PGF_03005371",,137,,"Response regulator",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.918",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1005866.1007539.rev","PATRIC","CDS",1005866,1007539,1674,"-",,"PLF_286_00011683","PGF_10401140",,557,,"Probable activation/secretion signal peptide protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.919",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1007732.1008925.rev","PATRIC","CDS",1007732,1008925,1194,"-",,"PLF_286_00034895","PGF_08225224",,397,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.920",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1008920.1009345.fwd","PATRIC","CDS",1008920,1009345,426,"+",,,,,141,,"hypothetical protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.921",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1009869.1010318.fwd","PATRIC","CDS",1009869,1010318,450,"+",,"PLF_286_00002160","PGF_10377946",,149,,"Integral membrane protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.922",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1010325.1010786.rev","PATRIC","CDS",1010325,1010786,462,"-",,"PLF_286_00381624","PGF_10683639",,153,,"Acyl dehydratase",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.94",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.101045.101449.fwd","PATRIC","CDS",101045,101449,405,"+",,"PLF_286_00001053","PGF_08161874",,134,,"cytosolic long-chain acyl-CoA thioester hydrolase family protein",
"Pseudomonas sp. BIOMIG1BAC Whole Genome","1758730.7","1758730.7.con.0001","fig|1758730.7.peg.923",,,"PATRIC.1758730.7.1758730.7.con.0001.CDS.1010968.1011315.rev","PATRIC","CDS",1010968,1011315,348,"-",,"PLF_286_00410312","PGF_11629623",,115,,"hypothetical protein",
